GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State
0500000US01001,37860.0,2.4,8.9,31.4,20.2,8.8,16.7,44360,24580,57982.0,29804,2.9,39.0,15.3,21.6,8.7,15.3,73.6,21.4,4.9,0.1,15.2,23.2,161200.0,1218.0,1011.0,55639,75.8,19.5,0.3,1.2,0.0,2.9,Autauga County,Alabama
0500000US01003,155563.0,2.5,7.1,27.2,22.2,9.2,20.2,176852,98768,61756.0,33751,3.9,36.8,17.3,23.7,9.7,12.6,78.4,13.5,7.9,0.1,9.2,10.0,211600.0,1374.0,1032.0,218289,85.4,8.8,0.7,0.9,0.0,4.6,Baldwin County,Alabama
0500000US01005,17797.0,7.8,17.5,35.7,19.6,7.8,7.3,20407,8707,34990.0,20074,6.9,27.4,18.0,19.2,12.6,22.7,74.5,20.4,4.9,0.2,28.6,46.3,86500.0,973.0,587.0,25026,46.3,47.7,0.4,0.5,0.0,4.4,Barbour County,Alabama
0500000US01007,15987.0,6.1,13.0,45.1,17.7,6.8,7.4,18421,8303,51721.0,22626,7.4,22.5,16.4,22.8,15.2,23.2,81.3,14.1,4.6,0.0,18.1,28.4,96400.0,1090.0,693.0,22374,76.6,22.5,0.1,0.3,0.0,2.7,Bibb County,Alabama
0500000US01009,39814.0,7.4,9.8,35.1,21.4,13.1,8.9,46083,22836,48922.0,25457,5.2,29.4,13.1,20.0,15.5,22.0,81.8,11.9,6.0,0.3,13.7,18.0,135300.0,1142.0,666.0,57755,94.0,1.4,0.1,0.4,0.1,9.3,Blount County,Alabama
0500000US01011,6784.0,5.9,19.1,41.4,17.7,5.6,6.1,8139,4007,33866.0,20783,3.4,17.3,18.6,14.2,13.4,36.5,77.4,17.7,4.9,0.0,29.5,49.7,74800.0,1002.0,559.0,10173,26.2,68.6,0.0,1.3,0.0,8.1,Bullock County,Alabama
0500000US01013,13820.0,3.6,10.1,46.5,16.9,7.0,10.1,15764,7971,44850.0,23415,6.5,27.5,15.9,20.1,11.1,25.3,81.5,13.7,4.6,0.2,19.6,30.7,98100.0,972.0,627.0,19726,51.6,44.6,0.3,1.3,0.0,1.5,Butler County,Alabama
0500000US01015,78967.0,4.8,10.1,34.4,24.1,7.7,10.5,92587,47905,50128.0,26238,7.3,30.4,16.9,22.2,9.8,20.7,75.6,19.0,5.3,0.1,15.8,20.0,121600.0,1043.0,720.0,114324,73.3,21.2,0.3,0.8,0.3,3.9,Calhoun County,Alabama
0500000US01017,23771.0,5.6,11.8,37.1,21.7,9.3,10.5,27270,14724,43875.0,24088,3.6,24.3,15.7,19.7,10.2,30.0,81.3,13.4,5.1,0.2,15.4,23.8,103800.0,978.0,734.0,33427,56.9,40.0,0.2,1.1,0.0,2.5,Chambers County,Alabama
0500000US01019,19143.0,6.3,10.9,39.2,19.8,11.0,6.3,21732,10310,42509.0,26231,4.1,31.8,15.5,14.7,13.7,24.4,78.1,15.0,6.6,0.3,12.9,13.6,138500.0,1156.0,626.0,26035,92.1,4.8,0.6,0.1,0.0,1.7,Cherokee County,Alabama
0500000US01021,30153.0,5.2,13.0,43.3,16.8,8.0,8.2,34765,17752,52141.0,25894,6.1,22.1,13.7,22.7,19.2,22.4,82.8,10.8,6.3,0.1,17.0,19.7,104500.0,1037.0,683.0,44147,82.1,9.7,1.1,0.4,0.0,7.8,Chilton County,Alabama
0500000US01023,9263.0,6.1,11.2,36.1,21.5,11.5,8.2,10632,4427,36634.0,23292,6.5,25.3,15.1,24.1,15.7,19.7,79.6,16.7,3.7,0.1,19.7,33.4,75900.0,883.0,560.0,12755,56.9,42.3,0.1,0.2,0.0,0.5,Choctaw County,Alabama
0500000US01025,16703.0,4.6,12.8,41.6,18.7,8.6,8.4,19409,8166,37345.0,24574,11.6,26.7,14.1,20.6,15.3,23.3,79.5,13.3,7.2,0.0,25.0,34.4,106600.0,1196.0,599.0,23866,52.5,45.7,0.1,0.5,0.0,0.6,Clarke County,Alabama
0500000US01027,9371.0,7.3,11.4,40.0,19.0,10.5,7.6,10901,5389,42678.0,25337,5.4,26.3,13.3,16.4,9.8,34.2,77.9,13.9,7.5,0.7,15.5,19.8,116100.0,1015.0,482.0,13285,83.3,15.3,0.2,0.2,0.0,3.1,Clay County,Alabama
0500000US01029,10538.0,6.7,11.1,38.4,21.7,6.1,10.6,11967,5814,46320.0,24723,3.3,28.6,12.5,21.3,16.0,21.6,78.4,15.1,6.4,0.1,15.6,21.5,118700.0,1240.0,659.0,14952,93.3,2.6,0.1,0.0,0.0,2.5,Cleburne County,Alabama
0500000US01031,35936.0,4.3,10.1,27.5,23.7,12.8,13.9,41328,21764,56799.0,27912,5.5,33.4,15.5,19.6,12.9,18.6,71.5,22.1,6.4,0.1,15.4,24.4,153700.0,1183.0,802.0,52238,74.7,17.0,1.0,1.6,0.0,7.7,Coffee County,Alabama
0500000US01033,39077.0,4.1,10.2,37.0,23.1,8.3,10.9,44790,23563,47962.0,25807,4.0,30.6,16.1,19.7,12.0,21.6,80.0,13.9,5.5,0.6,15.5,24.0,125400.0,1055.0,712.0,54957,78.8,16.2,0.6,0.5,0.1,2.9,Colbert County,Alabama
0500000US01035,8826.0,3.6,11.4,46.7,17.7,6.7,8.2,9999,3972,35444.0,20756,7.9,19.4,12.8,23.6,9.6,34.5,78.8,16.4,4.8,0.0,16.6,29.2,83900.0,908.0,545.0,12219,50.5,48.1,0.2,0.6,0.0,0.5,Conecuh County,Alabama
0500000US01037,8281.0,3.3,13.5,42.0,22.6,7.0,8.0,9075,4164,43571.0,25083,2.6,22.8,16.5,26.1,14.0,20.7,82.8,13.0,4.2,0.0,12.5,24.2,89200.0,930.0,611.0,10696,65.9,32.3,0.3,0.0,0.0,1.3,Coosa County,Alabama
0500000US01039,26366.0,5.0,9.7,37.3,22.1,10.3,9.3,29930,14880,42566.0,25303,7.7,31.9,14.5,19.3,13.7,20.5,74.9,18.1,7.0,0.1,17.7,23.7,99600.0,988.0,611.0,37096,84.3,12.7,0.2,0.7,0.1,1.8,Covington County,Alabama
0500000US01041,9684.0,6.9,14.3,38.2,13.6,8.6,13.1,11107,5615,42611.0,26351,4.0,25.1,16.8,24.0,12.5,21.6,71.9,16.3,11.6,0.2,14.6,17.1,84400.0,1036.0,540.0,13826,71.5,23.6,0.8,1.3,0.1,2.2,Crenshaw County,Alabama
0500000US01043,58084.0,5.4,12.3,32.3,23.5,11.0,10.1,66826,35401,48388.0,24770,5.0,27.5,16.0,22.2,14.4,19.8,79.3,12.8,7.8,0.1,12.7,15.6,135200.0,1065.0,721.0,83345,93.9,1.1,0.4,0.4,0.0,4.4,Cullman County,Alabama
0500000US01045,33522.0,4.8,9.9,30.9,26.1,10.1,12.6,39195,17282,45644.0,24473,9.0,29.6,16.2,21.3,15.1,17.8,74.7,20.0,5.1,0.1,18.4,30.9,113800.0,1000.0,753.0,49293,71.6,20.7,0.8,1.4,0.0,6.7,Dale County,Alabama
0500000US01047,25611.0,4.1,12.0,36.2,19.4,11.7,10.3,30059,13944,33317.0,19653,10.4,26.4,13.0,22.4,9.1,29.0,81.7,12.8,5.4,0.1,29.2,46.7,84100.0,1009.0,674.0,38184,27.2,71.5,0.1,0.7,0.0,0.3,Dallas County,Alabama
0500000US01049,48306.0,10.9,11.0,32.7,20.8,10.5,8.6,56316,30188,42267.0,22511,4.5,25.7,16.4,17.3,12.7,27.9,78.9,10.9,10.1,0.0,20.7,31.9,113600.0,990.0,630.0,71430,84.8,1.5,1.2,0.1,0.1,14.7,DeKalb County,Alabama
0500000US01051,56633.0,4.1,8.7,31.7,20.7,9.0,16.9,65435,34936,62324.0,29585,4.1,37.5,14.4,24.2,9.2,14.6,74.8,20.9,4.2,0.2,10.6,14.9,171100.0,1279.0,900.0,81526,74.9,21.1,0.3,0.9,0.0,3.0,Elmore County,Alabama
0500000US01053,25703.0,4.7,14.9,43.0,17.3,7.5,8.8,29469,12543,35558.0,18587,10.1,25.0,25.0,21.0,10.3,18.8,78.1,16.6,5.1,0.2,23.8,34.1,100800.0,905.0,606.0,36775,61.9,32.0,3.8,0.3,0.1,2.4,Escambia County,Alabama
0500000US01055,72188.0,4.1,10.5,33.4,25.0,9.3,10.8,83116,43002,44934.0,25094,5.7,28.1,19.7,21.0,10.7,20.4,78.9,14.7,6.3,0.1,16.0,24.7,124400.0,1069.0,676.0,102721,79.1,16.1,0.5,0.8,0.0,4.1,Etowah County,Alabama
