GEO_ID,Below_9th_grade,9_12th_grade,High_School_Grad,Some_College,Associate's_degree,Bachelor's_degree,Graduate_degree,Population (16+),Employed,Median Household Income,Per capita Income,Unemployment Rate,Professional (Occupation),Service (Occupation),Sales (Occupation),Construction (Occupation),Production (Occupation),Salary (Class),Gov't (Class),Self-employed (Class),Fam-unpaid (Class),Poverty,Child-poverty,Median Home value,Median Mortgage,Median Rent,Total Population,White,Black,American Indian,Asian,Pacific Islander,Hispanic/Latino,County,State,Year
0500000US01001,2.6,8.7,32.6,20.3,8.1,15.9,11.8,43368.0,24124.0,58786.0,29372.0,4.2,38.7,15.9,22.1,8.2,15.0,73.2,21.0,5.6,0.1,15.4,22.7,147900.0,1176.0,966.0,55200,76.9,19.1,0.3,1.0,0.1,2.8,Autauga County,Alabama,2018
0500000US01003,2.7,7.0,27.6,22.0,9.4,20.7,10.6,167712.0,93379.0,55962.0,31203.0,4.4,36.3,18.1,24.1,9.8,11.7,80.0,13.2,6.7,0.1,10.6,13.4,189800.0,1359.0,958.0,208107,86.3,9.5,0.7,0.8,0.0,4.5,Baldwin County,Alabama,2018
0500000US01005,8.2,18.8,35.7,18.1,7.0,7.8,4.4,20948.0,8720.0,34186.0,18461.0,9.5,25.9,14.6,19.8,13.1,26.5,75.6,18.5,5.7,0.2,28.9,47.6,92900.0,950.0,590.0,25782,47.4,47.6,0.3,0.4,0.0,4.3,Barbour County,Alabama,2018
0500000US01007,5.7,11.1,47.3,18.6,5.8,7.6,3.9,18470.0,8099.0,45340.0,20199.0,7.5,21.9,18.7,18.9,17.4,23.0,77.8,16.0,5.5,0.7,14.0,20.2,96500.0,1093.0,714.0,22527,76.7,22.3,0.0,0.2,0.0,2.4,Bibb County,Alabama,2018
0500000US01009,7.5,12.4,34.0,21.4,12.0,8.1,4.5,45915.0,21346.0,48695.0,22656.0,4.1,29.9,13.0,21.4,15.7,19.9,83.2,11.8,4.8,0.2,14.4,21.6,124700.0,1100.0,662.0,57645,95.5,1.5,0.2,0.3,0.0,9.1,Blount County,Alabama,2018
0500000US01011,4.9,19.9,39.7,17.0,5.3,7.4,5.9,8413.0,3940.0,32152.0,20346.0,11.1,21.0,17.1,17.5,10.5,33.9,77.1,17.6,5.3,0.0,31.4,55.9,77500.0,1020.0,668.0,10352,22.0,76.2,1.2,0.5,0.0,0.5,Bullock County,Alabama,2018
0500000US01013,4.2,11.2,43.9,16.9,7.7,9.7,6.4,15970.0,7885.0,39109.0,20430.0,6.7,26.9,16.0,19.2,11.6,26.2,81.3,14.5,4.1,0.1,23.5,35.0,88300.0,937.0,606.0,20025,52.0,45.2,0.0,1.2,0.0,0.3,Butler County,Alabama,2018
0500000US01015,5.1,10.9,32.4,25.9,7.8,10.2,7.8,93023.0,48157.0,45197.0,24706.0,8.8,28.2,16.9,23.2,10.5,21.3,75.7,18.6,5.5,0.2,18.6,26.2,113800.0,1045.0,680.0,115098,74.3,20.6,0.3,0.9,0.0,3.7,Calhoun County,Alabama,2018
0500000US01017,5.7,12.9,38.4,21.2,8.6,9.3,3.9,27656.0,14786.0,39872.0,22827.0,5.0,24.6,16.0,19.5,10.0,30.0,82.4,13.3,4.1,0.1,16.6,23.7,88400.0,947.0,715.0,33826,57.6,39.4,0.3,1.2,0.0,2.3,Chambers County,Alabama,2018
0500000US01019,7.5,12.3,38.3,21.4,7.6,6.8,6.1,21349.0,9805.0,41014.0,23356.0,5.6,29.2,12.2,16.4,13.0,29.2,77.5,15.3,7.2,0.0,15.0,17.8,123100.0,1115.0,606.0,25853,92.8,4.9,0.9,0.2,0.0,1.5,Cherokee County,Alabama,2018
0500000US01021,5.3,12.5,44.1,17.0,7.0,9.2,5.0,34516.0,17500.0,45182.0,24611.0,7.1,24.3,13.3,22.3,18.2,22.0,83.2,11.7,4.9,0.1,18.6,22.4,102200.0,1025.0,684.0,43930,83.3,9.4,0.3,0.4,0.0,7.8,Chilton County,Alabama,2018
0500000US01023,5.4,13.2,38.2,19.3,10.9,8.2,4.8,10800.0,4264.0,34884.0,22182.0,10.6,23.3,16.2,20.9,17.1,22.4,77.4,17.8,4.6,0.1,22.2,37.8,75200.0,947.0,533.0,13075,56.7,42.8,0.1,0.1,0.0,0.6,Choctaw County,Alabama,2018
0500000US01025,5.4,13.5,43.7,17.1,7.8,8.0,4.6,19763.0,7647.0,36127.0,21111.0,14.4,23.1,13.6,20.4,13.9,29.0,83.0,12.2,4.7,0.0,25.4,30.3,100800.0,1107.0,561.0,24387,53.0,45.8,0.1,0.5,0.0,0.2,Clarke County,Alabama,2018
0500000US01027,11.1,13.4,36.3,19.5,9.6,5.5,4.7,10843.0,5542.0,41225.0,23147.0,6.4,22.8,13.5,15.5,12.2,35.9,79.9,13.5,6.0,0.5,18.4,22.7,102200.0,986.0,564.0,13378,83.0,14.8,1.2,0.1,0.0,3.1,Clay County,Alabama,2018
