GEO_ID,NAME,DP02_0059PE,DP02_0060PE,DP02_0061PE,DP02_0062PE,DP02_0063PE,DP02_0064PE,DP02_0065PE,DP03_0001E,DP03_0004E,DP03_0062E,DP03_0088E,DP03_0009PE,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0030PE,DP03_0031PE,DP03_0047PE,DP03_0048PE,DP03_0049PE,DP03_0050PE,DP03_0128PE,DP03_0129PE,DP04_0089E,DP04_0101E,DP04_0134E,DP05_0001E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0052PE,DP05_0071PE
Geography,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Estimate!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent!!RACE!!Total population!!One race!!Asian,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0500000US01001,"Autauga County, Alabama",37860,2.4,8.9,31.4,20.2,8.8,16.7,44360,24580,57982,29804,2.9,39.0,15.3,21.6,8.7,15.3,73.6,21.4,4.9,0.1,15.2,23.2,161200,1218,1011,55639,75.8,19.5,0.3,1.2,0.0,2.9
0500000US01003,"Baldwin County, Alabama",155563,2.5,7.1,27.2,22.2,9.2,20.2,176852,98768,61756,33751,3.9,36.8,17.3,23.7,9.7,12.6,78.4,13.5,7.9,0.1,9.2,10.0,211600,1374,1032,218289,85.4,8.8,0.7,0.9,0.0,4.6
0500000US01005,"Barbour County, Alabama",17797,7.8,17.5,35.7,19.6,7.8,7.3,20407,8707,34990,20074,6.9,27.4,18.0,19.2,12.6,22.7,74.5,20.4,4.9,0.2,28.6,46.3,86500,973,587,25026,46.3,47.7,0.4,0.5,0.0,4.4
0500000US01007,"Bibb County, Alabama",15987,6.1,13.0,45.1,17.7,6.8,7.4,18421,8303,51721,22626,7.4,22.5,16.4,22.8,15.2,23.2,81.3,14.1,4.6,0.0,18.1,28.4,96400,1090,693,22374,76.6,22.5,0.1,0.3,0.0,2.7
0500000US01009,"Blount County, Alabama",39814,7.4,9.8,35.1,21.4,13.1,8.9,46083,22836,48922,25457,5.2,29.4,13.1,20.0,15.5,22.0,81.8,11.9,6.0,0.3,13.7,18.0,135300,1142,666,57755,94.0,1.4,0.1,0.4,0.1,9.3
0500000US01011,"Bullock County, Alabama",6784,5.9,19.1,41.4,17.7,5.6,6.1,8139,4007,33866,20783,3.4,17.3,18.6,14.2,13.4,36.5,77.4,17.7,4.9,0.0,29.5,49.7,74800,1002,559,10173,26.2,68.6,0.0,1.3,0.0,8.1
0500000US01013,"Butler County, Alabama",13820,3.6,10.1,46.5,16.9,7.0,10.1,15764,7971,44850,23415,6.5,27.5,15.9,20.1,11.1,25.3,81.5,13.7,4.6,0.2,19.6,30.7,98100,972,627,19726,51.6,44.6,0.3,1.3,0.0,1.5
0500000US01015,"Calhoun County, Alabama",78967,4.8,10.1,34.4,24.1,7.7,10.5,92587,47905,50128,26238,7.3,30.4,16.9,22.2,9.8,20.7,75.6,19.0,5.3,0.1,15.8,20.0,121600,1043,720,114324,73.3,21.2,0.3,0.8,0.3,3.9
0500000US01017,"Chambers County, Alabama",23771,5.6,11.8,37.1,21.7,9.3,10.5,27270,14724,43875,24088,3.6,24.3,15.7,19.7,10.2,30.0,81.3,13.4,5.1,0.2,15.4,23.8,103800,978,734,33427,56.9,40.0,0.2,1.1,0.0,2.5
